prod_codi,prod_nome,prod_url
23472BR-4ND-BN, MIST MON LAV BICA BX PARALLEL BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23472BR-4ND-BN.png
23472BR-4ND-RGD, MIST MON LAV BICA BX PARALLEL RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23472BR-4ND-RGD.png
23472BR-4ND-BL, MIST MON LAV BICA BX PARALLEL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23472BR-4ND-BL.png
23475BR-4ND-CP, MIST MON LAV BICA AL PARALLEL CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23475BR-4ND-CP.png
23475BR-4ND-BN, MIST MON LAV BICA AL PARALLEL BN,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23475BR-4ND-BN.png
23475BR-4ND-BL, MIST MON LAV BICA AL PARALLEL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23475BR-4ND-BL.png
23475BR-4ND-RGD,MIST MON LAV BICA AL PARALLEL RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23475BR-4ND-RGD.png
23528BR-BL, PAPELEIRA PARALLEL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23528BR-BL.png
23528BR-CP, PAPELEIRA PARALLEL CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23528BR-CP.png
23528BR-BL, PAPELEIRA PARALLEL BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23528BR-BL.png
23528BR-RGD, PAPELEIRA PARALLEL RGD,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/23528BR-RGD.png
74013BR-B4ND-BL, MIST MON LAV BICA BX TAUT BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/74013BR-B4ND-BL.png
74026BR-B4ND-BL, MIST MON LAV BICA AL TAUT BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/74026BR-B4ND-BL.png
27286BR-BL, PORTA TOALHA BARRA ELATE 457MM BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/27286BR-BL.png
27287BR-BL, PORTA TOALHA BARRA ELATE 610MM BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/27287BR-BL.png
27290BR-BL, CABIDE ELATE BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/27290BR-BL.png
27291BR-BL, TOALHEIRO ELATE BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/27291BR-BL.png
27291BR-CP, TOALHEIRO ELATE CP,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/27291BR-CP.png
27292BR-BL, PAPELEIRA ELATE BL,https://objectstorage.sa-saopaulo-1.oraclecloud.com/n/grsxg5eatn7l/b/produtos/o/produtos/27292BR-BL.png
